ServiceName,Business Critical,SF_Component,Port,DC61,DC32,DC34
Audit Log Service,Yes,Bizx,443,ca.als.services.cloud.sap,,
Data Custodian,No,DB,441,api-kms-ca1.datacustodian.cloud.sap,,
